Date,Close,Open,High,Low,Volume,Change
2016-01-04,1918.76,1954.47,1954.52,1918.76,359020000.0,-0.0217
2016-01-05,1930.53,1911.93,1937.57,1911.93,446550000.0,0.0060999999999999995
2016-01-06,1925.43,1934.25,1934.25,1911.61,594610000.0,-0.0026
2016-01-07,1904.33,1915.71,1926.41,1901.24,393040000.0,-0.011000000000000001
2016-01-08,1917.62,1889.42,1918.25,1883.82,430200000.0,0.006999999999999999
2016-01-11,1894.84,1897.18,1907.43,1892.69,328770000.0,-0.011899999999999999
2016-01-12,1890.86,1907.61,1910.59,1888.94,295140000.0,-0.0021
2016-01-13,1916.28,1904.33,1921.0,1902.49,265220000.00000003,0.0134
2016-01-14,1900.01,1893.18,1900.48,1882.02,310980000.0,-0.0085
2016-01-15,1878.87,1915.83,1918.3,1873.35,312360000.0,-0.0111
2016-01-18,1878.45,1856.03,1882.21,1854.55,276940000.0,-0.0002
2016-01-19,1889.64,1879.8,1889.9,1866.76,335320000.0,0.006
2016-01-20,1845.45,1885.36,1885.36,1830.06,407300000.0,-0.023399999999999997
2016-01-21,1840.53,1848.1,1860.02,1838.04,433740000.0,-0.0027
2016-01-22,1879.43,1860.3,1879.43,1859.54,408460000.0,0.021099999999999997
2016-01-25,1893.43,1890.15,1901.22,1882.74,315300000.0,0.0074
2016-01-26,1871.69,1881.87,1884.13,1862.98,298820000.0,-0.0115
2016-01-27,1897.87,1888.07,1902.03,1883.39,348900000.0,0.013999999999999999
2016-01-28,1906.94,1885.38,1907.56,1877.78,354310000.0,0.0048
2016-01-29,1912.06,1905.01,1912.07,1888.48,386560000.0,0.0027
2016-02-01,1924.82,1919.62,1926.11,1912.85,440320000.0,0.0067
2016-02-02,1906.6,1914.96,1920.02,1906.06,412270000.0,-0.0095
2016-02-03,1890.67,1893.83,1894.72,1882.75,408600000.0,-0.0084
2016-02-04,1916.26,1900.48,1917.09,1897.18,365800000.0,0.013500000000000002
2016-02-05,1917.79,1914.55,1921.76,1910.31,305770000.0,0.0008
2016-02-11,1861.54,1872.68,1877.77,1858.9,386430000.0,-0.029300000000000003
2016-02-12,1835.28,1850.67,1857.12,1817.97,470500000.0,-0.0141
2016-02-15,1862.2,1857.33,1864.62,1847.6,284600000.0,0.0147
2016-02-16,1888.3,1870.1,1892.15,1868.11,388320000.0,0.013999999999999999
2016-02-17,1883.94,1889.41,1897.37,1881.03,344630000.0,-0.0023
2016-02-18,1908.84,1909.4,1910.12,1898.49,332580000.0,0.0132
2016-02-19,1916.24,1904.5,1916.24,1902.24,312200000.0,0.0039000000000000003
2016-02-22,1916.36,1911.56,1921.14,1905.85,267860000.0,0.0001
2016-02-23,1914.22,1928.85,1929.53,1909.79,326810000.0,-0.0011
2016-02-24,1912.53,1908.71,1918.63,1906.19,281600000.0,-0.0009
2016-02-25,1918.57,1919.08,1928.49,1906.99,305790000.0,0.0032
2016-02-26,1920.16,1927.1,1927.8,1917.07,280220000.0,0.0008
2016-02-29,1916.66,1921.76,1927.05,1916.66,275050000.0,-0.0018
2016-03-02,1947.42,1944.27,1949.94,1942.24,323350000.0,0.016
2016-03-03,1958.17,1957.83,1958.17,1946.57,420980000.0,0.0055000000000000005
2016-03-04,1955.63,1956.01,1958.46,1949.47,316420000.0,-0.0013
2016-03-07,1957.87,1961.26,1963.43,1955.97,344610000.0,0.0011
2016-03-08,1946.12,1958.94,1958.94,1935.55,358680000.0,-0.006
2016-03-09,1952.95,1940.55,1952.95,1938.32,355390000.0,0.0034999999999999996
2016-03-10,1969.33,1958.87,1976.19,1955.67,352320000.0,0.0084
2016-03-11,1971.41,1968.3,1975.87,1966.65,303420000.0,0.0011
2016-03-14,1972.27,1985.74,1985.9,1970.56,357080000.0,0.0004
2016-03-15,1969.97,1975.61,1979.46,1966.44,264579999.99999997,-0.0012
2016-03-16,1974.9,1971.58,1982.08,1969.66,294460000.0,0.0025
2016-03-17,1987.99,1984.69,2000.3,1984.33,291580000.0,0.0066
2016-03-18,1992.12,1996.31,1996.31,1986.04,385850000.0,0.0021
2016-03-21,1989.76,1999.25,2003.12,1982.7,323260000.0,-0.0012
2016-03-22,1996.81,1993.37,1997.76,1986.87,383750000.0,0.0034999999999999996
2016-03-23,1995.12,1996.47,2001.67,1989.84,367550000.0,-0.0008
2016-03-24,1985.97,1988.46,1992.76,1981.17,341170000.0,-0.0046
2016-03-25,1983.81,1991.06,1991.06,1981.53,463420000.0,-0.0011
2016-03-28,1982.54,1984.93,1992.46,1981.37,410470000.0,-0.0006
2016-03-29,1994.91,1986.93,1997.33,1984.07,385450000.0,0.0062
2016-03-30,2002.14,2005.24,2009.1,1998.51,368300000.0,0.0036
2016-03-31,1995.85,2005.72,2007.43,1986.74,335070000.0,-0.0031
2016-04-01,1973.57,1994.77,1994.77,1970.17,392260000.0,-0.011200000000000002
2016-04-04,1978.97,1974.73,1979.03,1969.35,363320000.0,0.0027
2016-04-05,1962.74,1972.38,1973.17,1959.26,368160000.0,-0.008199999999999999
2016-04-06,1971.32,1963.17,1975.09,1961.51,358030000.0,0.0044
2016-04-07,1973.89,1978.75,1980.43,1964.99,434060000.0,0.0013
2016-04-08,1972.05,1961.29,1972.12,1954.11,400620000.0,-0.0009
2016-04-11,1970.37,1972.25,1973.9,1963.21,379540000.0,-0.0009
2016-04-12,1981.32,1970.5,1981.73,1968.5,387320000.0,0.005600000000000001
2016-04-14,2015.93,2004.15,2016.03,2000.83,473520000.0,0.0175
2016-04-15,2014.71,2013.38,2016.95,2008.68,317710000.0,-0.0006
2016-04-18,2009.1,2001.35,2009.55,1998.49,339250000.0,-0.0028000000000000004
2016-04-19,2011.36,2015.1,2020.29,2007.68,401240000.0,0.0011
2016-04-20,2005.83,2017.05,2023.77,2005.82,423960000.0,-0.0027
2016-04-21,2022.1,2014.6,2022.1,2009.45,392100000.0,0.008100000000000001
2016-04-22,2015.49,2014.93,2017.9,2010.94,480470000.0,-0.0033
2016-04-25,2014.55,2016.05,2016.65,2007.18,397680000.0,-0.0005
2016-04-26,2019.63,2013.26,2021.59,2011.85,509280000.0,0.0025
2016-04-27,2015.4,2019.31,2019.86,2012.75,412800000.0,-0.0021
2016-04-28,2000.93,2020.83,2022.99,1998.6,341140000.0,-0.0072
2016-04-29,1994.15,1998.68,1999.34,1983.3,401060000.0,-0.0034000000000000002
2016-05-02,1978.15,1991.84,1991.84,1977.03,328200000.0,-0.008
2016-05-03,1986.41,1988.34,1989.41,1979.66,310490000.0,0.0042
2016-05-04,1976.71,1978.24,1982.38,1969.22,352700000.0,-0.0049
2016-05-09,1967.81,1974.52,1976.14,1962.92,342190000.0,-0.0045000000000000005
2016-05-10,1982.5,1965.86,1982.5,1964.9,369080000.0,0.0075
2016-05-11,1980.1,1989.17,1989.17,1970.48,398530000.0,-0.0012
2016-05-12,1977.49,1973.28,1981.49,1970.54,462880000.0,-0.0013
2016-05-13,1966.99,1979.97,1980.45,1962.77,509120000.0,-0.0053
2016-05-16,1967.91,1961.91,1970.53,1961.32,526720000.0,0.0005
2016-05-17,1968.06,1973.86,1975.1,1962.57,597580000.0,0.0001
2016-05-18,1956.73,1962.78,1964.34,1945.56,696270000.0,-0.0058
2016-05-19,1946.78,1953.91,1954.29,1942.48,505920000.0,-0.0051
2016-05-20,1947.67,1943.84,1951.5,1940.36,388050000.0,0.0005
2016-05-23,1955.25,1954.26,1956.77,1940.44,399510000.0,0.0039000000000000003
2016-05-24,1937.68,1951.18,1951.39,1937.67,517080000.00000006,-0.009000000000000001
2016-05-25,1960.51,1953.63,1964.91,1951.17,656870000.0,0.0118
2016-05-26,1957.06,1965.81,1967.45,1955.97,558260000.0,-0.0018
2016-05-27,1969.17,1962.33,1971.27,1959.75,523530000.0,0.0062
2016-05-30,1967.13,1969.72,1970.54,1955.49,550500000.0,-0.001
2016-05-31,1983.4,1962.47,1984.18,1958.16,657040000.0,0.0083
2016-06-01,1982.72,1976.87,1986.76,1975.82,502290000.0,-0.0003
2016-06-02,1985.11,1983.86,1988.0,1978.82,474230000.0,0.0012
2016-06-03,1985.84,1991.58,1991.58,1979.66,540860000.0,0.0004
2016-06-07,2011.63,1993.08,2011.67,1992.77,481350000.0,0.013000000000000001
2016-06-08,2027.08,2013.72,2027.09,2008.59,497940000.0,0.0077
2016-06-09,2024.17,2028.02,2035.27,2012.14,599680000.0,-0.0014000000000000002
2016-06-10,2017.63,2022.77,2022.77,2014.15,404300000.0,-0.0032
2016-06-13,1979.06,2001.03,2001.79,1976.69,443000000.0,-0.0191
2016-06-14,1972.03,1976.8,1982.32,1965.34,439940000.0,-0.0036
2016-06-15,1968.83,1972.0,1975.87,1960.97,376770000.0,-0.0016
2016-06-16,1951.99,1971.53,1974.01,1944.8,438790000.0,-0.0086
2016-06-17,1953.4,1966.23,1970.54,1949.6,485270000.0,0.0007000000000000001
2016-06-20,1981.12,1974.43,1984.07,1969.56,391340000.0,0.014199999999999999
2016-06-21,1982.7,1977.8,1983.87,1971.99,557440000.0,0.0008
2016-06-22,1992.58,1981.78,1994.76,1979.37,407440000.0,0.005
2016-06-23,1986.71,1989.42,1990.71,1980.14,455390000.0,-0.0029
2016-06-24,1925.24,2001.55,2001.55,1892.75,750550000.0,-0.030899999999999997
2016-06-27,1926.85,1901.85,1926.87,1900.83,394270000.0,0.0008
2016-06-28,1936.22,1907.71,1937.99,1907.49,373460000.0,0.0049
2016-06-29,1956.36,1946.31,1966.21,1941.9,451190000.0,0.0104
2016-06-30,1970.35,1971.54,1972.81,1959.28,349860000.0,0.0072
2016-07-01,1987.32,1977.36,1993.98,1975.89,448130000.0,0.0086
2016-07-04,1995.3,1989.44,1997.37,1985.11,468610000.0,0.004
2016-07-05,1989.85,1995.69,1996.77,1985.94,405490000.0,-0.0027
2016-07-06,1953.12,1980.11,1982.8,1944.33,457440000.0,-0.018500000000000003
2016-07-07,1974.08,1963.3,1976.49,1959.83,378760000.0,0.010700000000000001
2016-07-08,1963.1,1972.28,1979.75,1956.91,356530000.0,-0.005600000000000001
2016-07-11,1988.54,1979.36,1990.95,1977.81,337760000.0,0.013000000000000001
2016-07-12,1991.23,1991.13,1998.03,1986.45,432650000.0,0.0014000000000000002
2016-07-13,2005.55,2007.65,2013.6,1995.84,357640000.0,0.0072
2016-07-14,2008.77,2004.12,2009.67,1997.94,340230000.0,0.0016
2016-07-15,2017.26,2015.37,2022.34,2011.1,477810000.0,0.0042
2016-07-18,2021.11,2018.22,2022.11,2012.3,380090000.0,0.0019
2016-07-19,2016.89,2022.8,2023.22,2010.27,380800000.0,-0.0021
2016-07-20,2015.46,2013.4,2015.47,2003.87,316340000.0,-0.0007000000000000001
2016-07-21,2012.22,2019.36,2020.55,2007.59,391050000.0,-0.0016
2016-07-22,2010.34,2005.37,2014.44,2002.66,320950000.0,-0.0009
2016-07-25,2012.32,2014.74,2020.69,2006.63,350230000.0,0.001
2016-07-26,2027.34,2009.4,2027.34,2008.25,338610000.0,0.0075
2016-07-27,2025.05,2027.07,2030.69,2021.15,411660000.0,-0.0011
2016-07-28,2021.1,2029.07,2029.38,2014.36,350880000.0,-0.002
2016-07-29,2016.19,2023.24,2028.99,2016.19,366380000.0,-0.0024
2016-08-01,2029.61,2024.71,2031.58,2024.57,369590000.0,0.0067
2016-08-02,2019.03,2023.55,2026.1,2017.59,409940000.0,-0.0052
2016-08-03,1994.79,2008.68,2008.68,1993.0,485850000.0,-0.012
2016-08-04,2000.03,2006.08,2006.48,1994.73,326510000.0,0.0026
2016-08-05,2017.94,2006.23,2018.16,2004.37,289290000.0,0.009000000000000001
2016-08-08,2031.12,2025.55,2031.14,2018.81,270480000.0,0.006500000000000001
2016-08-09,2043.78,2033.52,2046.03,2032.18,436720000.0,0.0062
2016-08-10,2044.64,2043.03,2049.36,2039.86,331090000.0,0.0004
2016-08-11,2048.8,2042.64,2048.8,2035.25,346080000.0,0.002
2016-08-12,2050.47,2053.82,2060.84,2046.15,376490000.0,0.0008
2016-08-16,2047.76,2056.0,2063.09,2047.73,374870000.0,-0.0013
2016-08-17,2043.75,2045.37,2048.29,2032.53,391720000.0,-0.002
2016-08-18,2055.47,2048.15,2056.09,2041.9,353080000.0,0.005699999999999999
2016-08-19,2056.24,2057.9,2059.3,2049.52,392320000.0,0.0004
2016-08-22,2042.16,2054.37,2054.71,2040.51,343500000.0,-0.0068000000000000005
2016-08-23,2049.93,2044.27,2051.43,2041.86,360410000.0,0.0038
2016-08-24,2043.76,2050.82,2052.74,2039.53,285180000.0,-0.003
2016-08-25,2042.92,2041.58,2046.0,2035.01,277430000.0,-0.0004
2016-08-26,2037.5,2036.74,2039.91,2027.68,288180000.0,-0.0027
2016-08-29,2032.35,2028.64,2034.63,2024.93,316970000.0,-0.0025
2016-08-30,2039.74,2038.6,2049.99,2036.76,378560000.0,0.0036
2016-08-31,2034.65,2038.58,2041.17,2027.24,400950000.0,-0.0025
2016-09-01,2032.72,2022.96,2032.72,2016.47,300510000.0,-0.0009
2016-09-02,2038.31,2033.92,2039.18,2030.17,342630000.0,0.0028000000000000004
2016-09-05,2060.08,2049.19,2061.0,2047.49,572970000.0,0.010700000000000001
2016-09-06,2066.53,2058.21,2067.77,2057.26,462550000.0,0.0031
2016-09-07,2061.88,2068.81,2073.89,2061.88,687160000.0,-0.0023
2016-09-08,2063.73,2064.96,2070.66,2053.2,656650000.0,0.0009
2016-09-09,2037.87,2048.94,2049.3,2029.46,392680000.0,-0.0125
2016-09-12,1991.48,2003.67,2011.04,1991.47,422880000.0,-0.022799999999999997
2016-09-13,1999.36,2011.93,2013.03,1997.58,437420000.0,0.004
2016-09-19,2015.78,1997.43,2019.45,1997.1,434440000.0,0.008199999999999999
2016-09-20,2025.71,2014.5,2026.56,2010.25,362340000.0,0.0049
2016-09-21,2035.99,2022.81,2035.99,2021.78,525100000.0,0.0051
2016-09-22,2049.7,2050.31,2060.26,2048.8,447590000.0,0.0067
2016-09-23,2054.07,2053.22,2057.35,2048.96,494110000.0,0.0021
2016-09-26,2047.11,2052.76,2060.71,2042.7,359620000.0,-0.0034000000000000002
2016-09-27,2062.82,2037.32,2064.89,2031.13,664040000.0,0.0077
2016-09-28,2053.06,2062.57,2062.98,2051.68,546450000.0,-0.004699999999999999
2016-09-29,2068.72,2063.74,2072.09,2063.74,416170000.0,0.0076
2016-09-30,2043.63,2054.25,2056.33,2042.77,326390000.0,-0.0121
2016-10-04,2054.86,2056.94,2059.25,2050.46,318850000.0,0.0055000000000000005
2016-10-05,2053.0,2043.37,2056.01,2036.87,292340000.0,-0.0009
2016-10-06,2065.3,2069.3,2070.43,2055.83,337710000.0,0.006
2016-10-07,2053.8,2065.95,2067.49,2051.6,422450000.0,-0.005600000000000001
2016-10-10,2056.82,2047.19,2058.73,2039.99,314900000.0,0.0015
2016-10-11,2031.93,2053.29,2060.78,2030.51,343220000.0,-0.0121
2016-10-12,2033.73,2022.97,2037.02,2022.39,297370000.0,0.0009
2016-10-13,2015.44,2033.99,2035.93,2014.89,440260000.0,-0.009000000000000001
2016-10-14,2022.66,2021.66,2028.76,2021.11,458900000.0,0.0036
2016-10-17,2027.61,2028.93,2033.56,2011.81,333400000.0,0.0024
2016-10-18,2040.43,2027.81,2040.72,2026.47,305930000.0,0.0063
2016-10-19,2040.94,2036.18,2050.51,2035.9,321940000.0,0.0002
2016-10-20,2040.6,2044.12,2048.25,2036.54,276000000.0,-0.0002
2016-10-21,2033.0,2039.4,2040.4,2029.79,260360000.0,-0.0037
2016-10-24,2047.74,2037.19,2047.74,2036.77,252040000.0,0.0073
2016-10-25,2037.17,2042.29,2042.65,2031.25,299100000.0,-0.0052
2016-10-26,2013.89,2030.37,2030.37,2002.29,392400000.0,-0.011399999999999999
2016-10-27,2024.12,2018.24,2026.33,2015.66,298690000.0,0.0051
2016-10-28,2019.42,2021.97,2026.85,2015.72,270530000.0,-0.0023
2016-10-31,2008.19,2011.29,2016.01,2005.95,400660000.0,-0.005600000000000001
2016-11-01,2007.39,2003.41,2010.51,1990.45,321780000.0,-0.0004
2016-11-02,1978.94,1995.41,1997.46,1976.34,333530000.0,-0.014199999999999999
2016-11-03,1983.8,1974.93,1988.82,1973.58,272730000.0,0.0025
2016-11-04,1982.02,1983.87,1985.29,1976.57,227780000.0,-0.0009
2016-11-07,1997.58,1997.58,2001.74,1992.14,210330000.0,0.0079
2016-11-08,2003.38,2009.56,2010.17,1994.33,239580000.0,0.0029
2016-11-09,1958.38,2008.08,2015.23,1931.07,709040000.0,-0.0225
2016-11-10,2002.6,1989.85,2002.6,1983.26,433880000.0,0.0226
2016-11-11,1984.43,1988.87,1994.05,1982.15,386860000.0,-0.0091
2016-11-14,1974.4,1982.93,1988.65,1974.27,352120000.0,-0.0051
2016-11-15,1967.53,1977.33,1978.94,1967.21,375660000.0,-0.0034999999999999996
2016-11-16,1979.65,1980.82,1985.67,1976.63,306500000.0,0.0062
2016-11-17,1980.55,1976.21,1983.87,1968.8,272170000.0,0.0005
2016-11-18,1974.58,1983.07,1983.26,1968.13,306960000.0,-0.003
2016-11-21,1966.05,1971.03,1976.23,1962.42,223510000.0,-0.0043
2016-11-22,1983.47,1976.07,1986.82,1974.05,231370000.0,0.0089
2016-11-23,1987.95,1987.64,1996.65,1981.22,308200000.0,0.0023
2016-11-24,1971.26,1985.11,1988.96,1968.5,235440000.0,-0.0084
2016-11-25,1974.46,1972.6,1978.45,1969.09,201940000.0,0.0016
2016-11-28,1978.13,1976.58,1983.43,1966.78,213580000.0,0.0019
2016-11-29,1978.39,1977.1,1982.53,1972.31,214570000.0,0.0001
2016-11-30,1983.48,1980.38,1988.44,1977.09,233090000.0,0.0026
2016-12-01,1983.75,1987.48,1989.08,1979.67,217880000.0,0.0001
2016-12-02,1970.61,1980.14,1981.64,1966.42,243180000.0,-0.0066
2016-12-05,1963.36,1965.71,1971.24,1960.65,237190000.0,-0.0037
2016-12-06,1989.86,1976.51,1993.47,1976.51,214650000.0,0.013500000000000002
2016-12-07,1991.89,1995.69,1997.62,1987.26,204410000.0,0.001
2016-12-08,2031.07,2008.31,2031.07,2007.57,239430000.0,0.0197
2016-12-09,2024.69,2024.52,2026.83,2019.79,225660000.0,-0.0031
2016-12-12,2027.24,2031.95,2031.95,2020.97,289800000.0,0.0013
2016-12-13,2035.98,2026.39,2035.99,2023.61,383360000.0,0.0043
2016-12-14,2036.87,2043.07,2044.42,2031.18,384030000.0,0.0004
2016-12-15,2036.65,2022.14,2040.62,2021.76,300190000.0,-0.0001
2016-12-16,2042.24,2037.35,2043.6,2033.23,289710000.0,0.0027
2016-12-19,2038.39,2039.4,2046.03,2037.04,249870000.0,-0.0019
2016-12-20,2041.94,2044.87,2047.38,2040.81,314220000.0,0.0017000000000000001
2016-12-21,2037.96,2049.47,2053.46,2037.96,284570000.0,-0.0019
2016-12-22,2035.73,2041.61,2042.9,2033.99,275100000.0,-0.0011
2016-12-23,2035.9,2036.17,2037.71,2031.54,310880000.0,0.0001
2016-12-26,2037.75,2038.33,2039.76,2034.8,366640000.0,0.0009
2016-12-27,2042.17,2040.74,2044.43,2037.12,384030000.0,0.0022
2016-12-28,2024.49,2021.86,2029.69,2020.86,356590000.0,-0.0087
2016-12-29,2026.46,2020.42,2026.57,2016.25,264519999.99999997,0.001
2017-01-02,2026.16,2022.23,2031.79,2015.68,229880000.0,-0.0001
2017-01-03,2043.97,2034.31,2044.07,2028.47,268130000.0,0.0088
2017-01-04,2045.64,2046.29,2046.29,2040.61,371490000.0,0.0008
2017-01-05,2041.95,2045.52,2046.5,2039.49,541340000.0,-0.0018
2017-01-06,2049.12,2048.11,2051.84,2045.66,455350000.0,0.0034999999999999996
2017-01-09,2048.78,2053.18,2053.18,2046.47,398290000.0,-0.0002
2017-01-10,2045.12,2043.3,2046.78,2039.5,512659999.99999994,-0.0018
2017-01-11,2075.17,2048.08,2079.7,2047.56,335530000.0,0.0147
2017-01-12,2087.14,2077.69,2087.14,2073.89,555840000.0,0.0058
2017-01-13,2076.79,2077.12,2080.94,2073.44,518280000.0,-0.005
2017-01-16,2064.17,2077.03,2080.05,2058.93,683930000.0,-0.0060999999999999995
2017-01-17,2071.87,2067.52,2078.8,2065.53,601440000.0,0.0037
2017-01-18,2070.54,2073.77,2075.23,2058.35,530130000.0,-0.0006
2017-01-19,2072.79,2085.61,2091.02,2065.03,415670000.0,0.0011
2017-01-20,2065.61,2065.54,2072.32,2064.0,392650000.0,-0.0034999999999999996
2017-01-23,2065.99,2067.62,2073.8,2058.91,444860000.0,0.0002
2017-01-24,2065.76,2070.22,2072.66,2058.59,312410000.0,-0.0001
2017-01-25,2066.94,2075.33,2077.72,2062.96,310240000.0,0.0006
2017-01-26,2083.59,2074.77,2088.6,2068.5,257920000.00000003,0.008100000000000001
2017-01-31,2067.57,2077.66,2079.97,2067.57,288280000.0,-0.0077
2017-02-01,2080.48,2075.31,2082.7,2073.97,452530000.0,0.0062
2017-02-02,2071.01,2080.23,2092.45,2067.76,825480000.0,-0.0046
2017-02-03,2073.16,2075.9,2079.85,2064.05,392580000.0,0.001
2017-02-06,2077.66,2085.73,2088.37,2073.03,315320000.0,0.0022
2017-02-07,2075.21,2077.8,2079.23,2071.05,271810000.0,-0.0012
2017-02-08,2065.08,2072.58,2072.58,2052.29,266720000.00000003,-0.0049
2017-02-09,2065.88,2067.15,2072.69,2062.12,236010000.0,0.0004
2017-02-10,2075.08,2075.8,2080.74,2072.23,314680000.0,0.0045000000000000005
2017-02-13,2078.65,2074.94,2078.66,2070.36,289680000.0,0.0017000000000000001
2017-02-14,2074.57,2079.3,2081.59,2068.16,332370000.0,-0.002
2017-02-15,2083.86,2073.6,2087.69,2069.89,338040000.0,0.0045000000000000005
2017-02-16,2081.84,2088.09,2092.59,2078.35,330470000.0,-0.001
2017-02-17,2080.58,2072.57,2081.18,2072.57,301520000.0,-0.0006
2017-02-20,2084.39,2084.16,2085.59,2077.13,297200000.0,0.0018
2017-02-21,2102.93,2085.97,2108.48,2085.0,292540000.0,0.0089
2017-02-22,2106.61,2106.42,2108.98,2101.56,312220000.0,0.0018
2017-02-23,2107.63,2106.15,2108.99,2103.11,430850000.0,0.0005
2017-02-24,2094.12,2106.43,2107.83,2090.05,385400000.0,-0.0064
2017-02-27,2085.52,2095.47,2097.24,2084.08,343700000.0,-0.0040999999999999995
2017-02-28,2091.64,2087.26,2094.41,2084.36,399820000.0,0.0029
2017-03-02,2102.65,2105.19,2112.58,2096.31,434710000.0,0.0053
2017-03-03,2078.75,2090.92,2091.59,2072.09,425940000.0,-0.011399999999999999
2017-03-06,2081.36,2073.2,2083.8,2067.68,431440000.0,0.0013
2017-03-07,2094.05,2080.77,2096.79,2079.16,277830000.0,0.0060999999999999995
2017-03-08,2095.41,2092.27,2101.56,2088.19,381440000.0,0.0006
2017-03-09,2091.06,2098.29,2100.08,2090.73,408230000.0,-0.0021
2017-03-10,2097.35,2088.67,2102.05,2082.31,500860000.0,0.003
2017-03-13,2117.59,2102.37,2122.88,2100.91,382130000.0,0.0097
2017-03-14,2133.78,2127.12,2135.5,2124.42,365080000.0,0.0076
2017-03-15,2133.0,2128.42,2135.38,2127.26,374700000.0,-0.0004
2017-03-16,2150.08,2154.98,2156.85,2143.01,402420000.0,0.008
